Measuring unit
Workstations
Workstations
Number of Users
Number of Users
Number of Users
Number of Employees
Workstations
Number of Employees
Workstations
Number of Employees
Number of Employees
Number of Users
Number of Users
Workstations
Number of Employees
Workstations
Number of Users
Number of Employees
Number of Users
Workstations
Number of Users
Workstations
Number of Users
Number of Users
Workstations
Number of Users
Number of Users
Number of Users
Workstations
Number of Employees
Number of Employees
Workstations
Workstations
Workstations
Number of Employees
Workstations
Number of Employees
Workstations
Number of Employees
Workstations
Workstations
Number of Employees
Number of Users
Number of Users
Workstations
Workstations
Number of Users
Number of Employees
Number of Users
Number of Users
Number of Users
Number of Employees
Number of Users
Number of Employees
Number of Users
Number of Users
Workstations
Number of Users
Number of Users
Number of Employees
Workstations
Number of Users
Number of Users
Number of Employees
Number of Users
Number of Employees
Number of Employees
Workstations
Workstations
Workstations
Number of Users
Number of Users
Number of Employees
Workstations
Workstations
Number of Users
Workstations
Number of Employees
Number of Users
Number of Employees
Number of Users
Number of Users
Workstations
Number of Users
Number of Users
Number of Users
Number of Users
Workstations
Number of Users
Number of Users
Number of Users
Workstations
Number of Employees
Number of Employees
Number of Users
Number of Employees
Workstations
Number of Users
Workstations
Number of Users
Number of Employees
Workstations
Number of Employees
Number of Users
Workstations
Workstations
Number of Users
Number of Users
Number of Users
Workstations
Workstations
Workstations
Workstations
Workstations
Number of Employees
Number of Employees
Number of Users
Number of Users
Workstations
Number of Employees
Workstations
Number of Employees
Number of Users
Number of Users
Workstations
Number of Users
Number of Users
Number of Employees
Workstations
Number of Users
Number of Users
Number of Users
Number of Users
Number of Users
Number of Users
Workstations
Number of Users
Number of Users
Number of Employees
Number of Users
Workstations
Number of Users
Workstations
Workstations
Number of Users
Number of Users
Workstations
Number of Users
Number of Users
Workstations
Number of Users
Number of Employees
Number of Users
Workstations
Workstations
Number of Employees
Workstations
Number of Users
Number of Users
Number of Users
Number of Users
Number of Users
Workstations
Number of Users
Number of Users
Number of Users
Workstations
Workstations
Number of Users
Number of Users
Number of Users
